Max,Min,Mean,Std
0.5139068482872726,0.0013010299956639814,0.1107325014695016,0.08357618129407982
1.3010299956639813,0.0004559319556497244,0.10282281675607965,0.10538039218746659
1.2971269056769894,4.575749056067514e-05,0.9129772304802852,0.19705904960577586
1.2633001257897258,0.0006989700043360189,0.2799686898484914,0.14547409692610108
1.2672032157767177,9.691001300805642e-05,0.10054692422354272,0.05668790865136029
1.2698052757680456,9.691001300805642e-05,0.13026573382666412,0.1462819060926153
1.2737083657550377,0.00019382002601611283,0.093020311323827,0.1756433148266134
1.2737083657550377,0.001,0.3447699800123016,0.30853996767494135
1.2685042457723816,0.0006989700043360189,0.31764592047969,0.303602746101819
0.5997748280010954,0.0006989700043360189,0.06117720023423366,0.037332538744593864
0.5984737980054314,0.0006989700043360189,0.07054221017948158,0.028238025335267647
0.5854634980487916,0.0006020599913279624,0.05535758460611406,0.03504246715443802
0.552937748157192,0.0004559319556497244,0.0639106394601217,0.02583104474085899
1.2359784958807822,0.0004559319556497244,0.08767055418390121,0.025892696099576323
1.2606980657983975,0.0005228787452803376,0.05508722264138524,0.0441727114662056
1.2359784958807822,0.0006989700043360189,0.09734603932577592,0.047974806310647426
0.6674283877756224,0.0006989700043360189,0.09361021744477892,0.015404316835298434
1.2307743758981262,0.0004559319556497244,0.0943141227663903,0.036093272547391336
1.2450857058504299,4.575749056067514e-05,0.09458914312548497,0.061751792437048564
1.186539356045551,4.575749056067514e-05,0.06378420905935825,0.10448981557058348
