,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Mean,Min,Max,Range
Manhattan,5.891830020194567,5.774577195703505,6.087786742694038,5.633747004625801,6.037041550024131,5.481516863965948,5.517556692761172,5.7165283305089565,5.931038873109251,5.74673523477572,5.7818,5.4815,6.0878,0.6063
Euclidean,0.753499390109888,0.8584473625873565,0.9838468875563374,1.0006045635350047,0.9797012888711034,0.8242382845711977,0.6539901812822974,0.8295895960223122,0.9933272007414732,0.8824701341071434,0.876,0.654,1.0006,0.3466
$l_p$: $p=r=0.5$,7.300729904047087,7.380344439704909,7.621876828425412,7.161080059428777,7.965108273760135,7.138953859531202,7.092779537732914,7.2503405234217775,7.39931207463309,7.3395934324356045,7.365,7.0928,7.9651,0.8723
$l_p$: $p=r=0.75$,6.985317873063556,6.90720641479058,7.136215853152719,6.903886048259115,7.539035045526773,6.668845431449877,6.725741467642988,7.011884524542794,6.983159303534183,6.942508247406273,6.9804,6.6688,7.539,0.8702
Cosine,1.0343489180187415,1.149043465272306,0.9530234121211341,0.9548090171660977,1.2037034783342635,1.0208170644352743,1.1688295041529444,1.1104279013505844,1.1419904916948094,1.0345922673391004,1.0772,0.953,1.2037,0.2507
Mahalanobis,1.0331650578615554,0.8280790240948328,0.9769977565508333,1.018644590136188,0.8474647344879712,0.8147752942385382,0.7122767207902179,0.852163415673678,1.0629424532711027,0.9407916717798873,0.9087,0.7123,1.0629,0.3506
Wasserstein,6.242337486304668,5.9549156364812355,6.171543516585385,6.100474127263667,6.34936938588708,6.390290786069903,5.8959337746209295,6.098150673494699,5.913707223497241,6.389136180135919,6.1506,5.8959,6.3903,0.4944
Entropy,4.886587375698691,4.425307324506369,4.354610119211749,4.701462929792079,4.893802846419843,4.684168741528313,4.743582879807549,4.924491872559847,4.693511481121125,4.384989119551297,4.6693,4.3546,4.9245,0.5699
Perplexity,4.135456489044016,3.9317112886334176,3.759317381818605,4.031159004857542,4.256878725567121,3.8913484850107425,4.2115983878223044,4.263540546370163,3.882669840607737,3.765997293867935,4.013,3.7593,4.2635,0.5042
MMD,1.8082927703607707,1.3949535407982476,1.3588820078793122,1.5084292649495559,2.0019028876328755,1.7041363607843147,1.5423233926432929,1.6480001098245391,1.3881899541426286,1.8901115923022318,1.6245,1.3589,2.0019,0.643
FID,1.8322263456019874,1.62481941073436,1.999952239408441,1.5939265791357433,2.126637025403858,1.6231111938678036,1.6623126386455207,1.5963283701345785,2.061731778143971,1.7126849560043744,1.7834,1.5939,2.1266,0.5327
