,Number of Samples,Runtime: Euclidean,Runtime: Manhattan,Runtime: lp: p=r=0.5,Runtime: lp: p=r=0.75,Runtime: cosine,Runtime: mahalanobis,Runtime: wasserstein,Runtime: entropy,Runtime: perplexity,Runtime: mmd,Runtime: fid
0,100.0,0.04210400581359863,0.04137778282165527,0.09395408630371094,0.09163498878479004,0.08953595161437988,6.4835429191589355,0.3096740245819092,0.6439254283905029,0.6351404190063477,8.592700719833374,0.36670970916748047
1,500.0,0.2118241786956787,0.1918013095855713,0.4120173454284668,0.4417228698730469,0.42945241928100586,37.315844774246216,1.2164556980133057,3.17120623588562,3.298879384994507,46.080745458602905,1.6201269626617432
2,1000.0,0.4176981449127197,0.41413116455078125,0.8530068397521973,0.8761258125305176,0.8821635246276855,71.23465919494629,2.453577995300293,6.327049016952515,6.315485715866089,88.93080735206604,3.3031506538391113
3,1500.0,0.5922393798828125,0.5726988315582275,1.272341251373291,1.2823920249938965,1.258051872253418,106.15981864929199,3.6714236736297607,9.34118127822876,9.416537046432495,133.28112316131592,4.913506507873535
4,2000.0,0.8633153438568115,0.7728674411773682,1.6863665580749512,1.7222604751586914,1.7028439044952393,140.3712363243103,4.872739553451538,12.451818704605103,12.39590334892273,178.55914497375488,6.67985200881958
5,2500.0,0.9991745948791504,0.9464349746704102,2.095709800720215,2.088602304458618,2.0749268531799316,182.6962513923645,6.1920082569122314,15.277965307235718,15.43654489517212,224.92670845985413,8.26785397529602
6,3000.0,1.2242329120635986,1.1802265644073486,2.5479767322540283,2.530320167541504,2.5752623081207275,213.34101796150208,7.315247297286987,18.5055832862854,18.772915363311768,268.1823353767395,9.964872360229492
7,3500.0,1.4209215641021729,1.3347258567810059,2.9382050037384033,2.93876051902771,2.945502758026123,252.11314821243286,8.446828842163086,21.34306836128235,21.566638469696045,307.73654294013977,11.558748483657837
8,4000.0,1.6599640846252441,1.5239918231964111,3.3679163455963135,3.355332136154175,3.3649837970733643,277.2343647480011,9.519686937332153,24.542762994766235,24.870503187179565,355.95846009254456,13.057140827178955
9,4500.0,1.8049616813659668,1.7205491065979004,3.7499794960021973,3.752293109893799,3.7242772579193115,326.07868480682373,10.84392261505127,27.787952184677124,28.031038522720337,400.73917269706726,14.560830116271973
10,5000.0,2.0467190742492676,1.9406442642211914,4.191095590591431,4.210524082183838,4.223857164382935,354.3707432746887,11.98257565498352,31.134317874908447,31.47174596786499,444.53128147125244,16.724543809890747
11,5500.0,2.2861902713775635,2.1690566539764404,4.657170534133911,4.6572065353393555,4.708115339279175,402.52547693252563,13.231746912002563,33.973379611968994,34.24481964111328,479.63439321517944,18.060330390930176
12,6000.0,2.4745051860809326,2.283792495727539,5.044706344604492,5.053237438201904,5.061700344085693,416.8743715286255,14.595314979553223,36.60642433166504,37.08470678329468,522.309647321701,19.50950026512146
13,6500.0,2.628598928451538,2.508960247039795,5.485690116882324,5.475368499755859,5.476762533187866,475.89937114715576,15.757635354995728,39.229708433151245,39.89447355270386,577.1924459934235,21.374171495437622
14,7000.0,2.835561513900757,2.7422056198120117,5.894819259643555,5.911897897720337,5.938844442367554,517.244677066803,17.01756000518799,42.66929364204407,42.9996075630188,621.9116079807281,23.348575592041016
15,7500.0,3.0438427925109863,2.864169120788574,6.300535440444946,6.279255151748657,6.270559549331665,541.5513379573822,18.00524592399597,46.11959791183472,46.3563346862793,662.8036723136902,24.5688419342041
16,8000.0,3.3323423862457275,3.1177287101745605,6.750938653945923,6.761864423751831,6.836733102798462,589.1697416305542,19.447341918945312,48.414326667785645,49.28938698768616,704.2580389976501,26.06870126724243
17,8500.0,3.399301052093506,3.247661828994751,7.129701852798462,7.1381988525390625,7.087324380874634,617.840624332428,20.329765558242798,52.406593322753906,53.16687202453613,747.8409171104431,27.657597541809082
18,9000.0,3.603449583053589,3.475677967071533,7.52148175239563,7.616039514541626,7.542749881744385,649.0961945056915,22.04736089706421,55.99214816093445,56.56498336791992,792.3303692340851,29.302266597747803
19,9500.0,3.826592445373535,3.659653902053833,7.932742118835449,7.95540714263916,7.900339365005493,691.9603309631348,22.900646209716797,58.7754807472229,59.47405409812927,835.703516960144,31.044870376586914
20,10000.0,4.038636922836304,3.8705899715423584,8.408524990081787,8.411206483840942,8.427770376205444,721.6339275836945,24.028891563415527,61.440983057022095,62.28282070159912,889.7481172084808,32.89823269844055
